time	ignal 0	ignal 1
  2.367	 -0.075	 -0.155
  2.375	 -0.065	 -0.135
  2.383	 -0.065	 -0.125
  2.391	 -0.075	 -0.135
  2.398	 -0.075	 -0.085
  2.406	 -0.025	 -0.085
  2.414	 -0.025	 -0.105
  2.422	 -0.065	 -0.135
  2.430	 -0.055	 -0.115
  2.438	 -0.065	 -0.125
  2.445	 -0.055	 -0.125
  2.453	 -0.075	 -0.165
  2.461	 -0.055	 -0.175
  2.469	 -0.045	 -0.165
  2.477	 -0.065	 -0.165
  2.484	 -0.055	 -0.155
  2.492	 -0.055	 -0.145
  2.500	 -0.065	 -0.155
  2.508	 -0.085	 -0.155
  2.516	 -0.105	 -0.125
  2.523	 -0.075	 -0.085
  2.531	 -0.045	 -0.065
  2.539	 -0.045	 -0.235
  2.547	 -0.045	 -0.195
  2.555	 -0.045	 -0.135
  2.562	 -0.075	 -0.115
  2.570	  0.065	 -0.095
  2.578	  0.355	 -0.025
  2.586	  0.985	 -0.035
  2.594	  1.355	 -0.115
  2.602	  1.305	 -0.235
  2.609	  0.785	 -0.125
  2.617	  0.145	  0.275
  2.625	 -0.495	  0.565
  2.633	 -0.455	  0.675
  2.641	 -0.435	  0.695
  2.648	 -0.445	  0.765
  2.656	 -0.465	  0.895
  2.664	 -0.395	  0.925
  2.672	 -0.265	  0.885
  2.680	 -0.115	  0.485
  2.688	 -0.095	  0.085
  2.695	 -0.105	 -0.145
  2.703	 -0.115	 -0.175
  2.711	 -0.095	 -0.185
  2.719	 -0.085	 -0.205
  2.727	 -0.075	 -0.185
  2.734	 -0.095	 -0.185
  2.742	 -0.075	 -0.175
  2.750	 -0.075	 -0.215
  2.758	 -0.075	 -0.215
  2.766	 -0.075	 -0.205
  2.773	 -0.065	 -0.195
  2.781	 -0.055	 -0.175
  2.789	 -0.055	 -0.175
  2.797	 -0.055	 -0.175
  2.805	 -0.045	 -0.185
  2.812	 -0.055	 -0.115
  2.820	 -0.025	 -0.125
  2.828	 -0.035	 -0.205
  2.836	 -0.015	 -0.195
  2.844	 -0.015	 -0.215
  2.852	 -0.005	 -0.175
  2.859	  0.015	 -0.135
  2.867	  0.035	 -0.195
  2.875	  0.035	 -0.165
  2.883	  0.065	 -0.145
  2.891	  0.085	 -0.105
  2.898	  0.115	 -0.095
  2.906	  0.155	 -0.095
  2.914	  0.185	 -0.055
  2.922	  0.225	 -0.065
  2.930	  0.255	 -0.035
  2.938	  0.275	 -0.015
  2.945	  0.305	  0.015
  2.953	  0.305	  0.015
  2.961	  0.325	  0.005
  2.969	  0.295	  0.045
  2.977	  0.275	  0.025
  2.984	  0.225	 -0.005
  2.992	  0.175	 -0.055
  3.000	  0.075	 -0.025
  3.008	  0.035	 -0.085
  3.016	 -0.025	 -0.185
  3.023	 -0.055	 -0.165
  3.031	 -0.075	 -0.165
  3.039	 -0.115	 -0.185
  3.047	 -0.135	 -0.175
  3.055	 -0.135	 -0.215
  3.062	 -0.135	 -0.195
  3.070	 -0.145	 -0.185
  3.078	 -0.155	 -0.175
  3.086	 -0.155	 -0.185
  3.094	 -0.135	 -0.145
  3.102	 -0.145	 -0.195
  3.109	 -0.135	 -0.195
  3.117	 -0.135	 -0.175
  3.125	 -0.145	 -0.165
  3.133	 -0.115	 -0.115
  3.141	 -0.135	 -0.195
  3.148	 -0.115	 -0.175
  3.156	 -0.095	 -0.185
  3.164	 -0.095	 -0.185
  3.172	 -0.085	 -0.185
  3.180	 -0.085	 -0.185
  3.188	 -0.075	 -0.165
  3.195	 -0.085	 -0.165
  3.203	 -0.085	 -0.155
  3.211	 -0.075	 -0.165
  3.219	 -0.075	 -0.145
  3.227	 -0.065	 -0.135
  3.234	 -0.095	 -0.215
  3.242	 -0.065	 -0.115
  3.250	 -0.075	 -0.215
  3.258	 -0.065	 -0.195
  3.266	 -0.085	 -0.205
  3.273	 -0.085	 -0.165
  3.281	 -0.085	 -0.185
  3.289	 -0.075	 -0.195
  3.297	 -0.085	 -0.185
  3.305	 -0.095	 -0.175
  3.312	 -0.095	 -0.165
  3.320	 -0.105	 -0.165
  3.328	 -0.085	 -0.135
  3.336	 -0.095	 -0.175
  3.344	 -0.085	 -0.205
  3.352	 -0.095	 -0.195
  3.359	 -0.105	 -0.105
  3.367	 -0.085	 -0.125
  3.375	 -0.085	 -0.265
  3.383	 -0.075	 -0.225
  3.391	 -0.105	 -0.205
  3.398	 -0.105	 -0.155
  3.406	 -0.095	 -0.165
  3.414	 -0.085	 -0.175
  3.422	 -0.095	 -0.175
  3.430	 -0.095	 -0.175
  3.438	 -0.105	 -0.165
  3.445	 -0.085	 -0.105
  3.453	 -0.095	 -0.185
  3.461	 -0.095	 -0.195
  3.469	 -0.105	 -0.175
  3.477	 -0.085	 -0.165
  3.484	 -0.085	 -0.125
  3.492	 -0.085	 -0.155
  3.500	 -0.105	 -0.165
  3.508	 -0.085	 -0.175
  3.516	 -0.095	 -0.175
  3.523	 -0.115	 -0.175
  3.531	 -0.075	 -0.055
  3.539	 -0.085	 -0.205
  3.547	 -0.095	 -0.175
  3.555	 -0.075	 -0.175
  3.562	 -0.075	 -0.165
  3.570	 -0.075	 -0.155
  3.578	 -0.095	 -0.145
  3.586	 -0.085	 -0.145
  3.594	 -0.085	 -0.115
  3.602	 -0.095	 -0.145
  3.609	 -0.085	 -0.135
  3.617	 -0.085	 -0.165
  3.625	 -0.095	 -0.055
  3.633	 -0.085	 -0.145
  3.641	 -0.085	 -0.205
  3.648	 -0.085	 -0.145
  3.656	 -0.065	 -0.105
  3.664	 -0.085	 -0.165
  3.672	 -0.075	 -0.155
  3.680	 -0.085	 -0.155
  3.688	 -0.065	 -0.155
  3.695	 -0.075	 -0.155
  3.703	 -0.075	 -0.145
  3.711	 -0.055	 -0.135
  3.719	 -0.065	 -0.115
  3.727	 -0.085	 -0.075
  3.734	 -0.035	 -0.045
  3.742	 -0.075	 -0.175
  3.750	 -0.085	 -0.185
  3.758	 -0.085	 -0.145
  3.766	 -0.065	 -0.145
  3.773	 -0.055	 -0.175
  3.781	 -0.075	 -0.135
  3.789	 -0.075	 -0.205
  3.797	 -0.055	 -0.185
  3.805	 -0.075	 -0.175
  3.812	 -0.095	 -0.175
  3.820	 -0.085	 -0.135
  3.828	 -0.095	 -0.135
  3.836	 -0.085	 -0.115
  3.844	 -0.075	 -0.135
  3.852	 -0.105	 -0.115
  3.859	 -0.045	 -0.035
  3.867	 -0.075	 -0.165
  3.875	  0.035	 -0.095
  3.883	  0.335	 -0.075
  3.891	  0.970	 -0.075
  3.898	  1.425	 -0.125
  3.906	  1.325	 -0.215
  3.914	  0.685	 -0.005
  3.922	  0.045	  0.335
  3.930	 -0.575	  0.545
  3.938	 -0.495	  0.575
  3.945	 -0.485	  0.615
  3.953	 -0.515	  0.745
  3.961	 -0.515	  0.865
  3.969	 -0.405	  0.895
  3.977	 -0.245	  0.725
  3.984	 -0.135	  0.245
  3.992	 -0.125	 -0.075
