year       U.S.	       AL	   CA	      CO	  CT	  DE	  DC	    FL	      GA	  ID	   IL	      IN	  IA	   KS	  KY	   LA	  ME	   MD	   MA	   MI	   MN	   MS	   MO	  MT	  NE	  NV	  NH	   NJ	   NM	   NY	       NC	  ND	   OH	  OK	  OR	  PA	  RI	   SC	  SD	   TN	  TX	  UT	  VT	  VA	  WA	  WV	  WI	  WY
1936	128053000	2743000	 6341000	1090000	1672000	253000	629000	 1651000	2978000	495000	 7840000	3348000	2509000	1869000	2768000	2246000	840000	1745000	4355000	4889000	2734000	2072000	3801000	554000	1358000	101000	481000	4084000	489000	13481000	3346000	664000	6801000	2365000	1025000	9767000	686000	1781000	666000	2791000	6192000	527000	357000	2552000	1653000	1808000	3082000	240000
1937	128825000	2762000	 6528000	1104000	1678000	254000	616000	 1709000	3037000	507000	 7857000	3374000	2498000	1856000	2784000	2257000	842000	1754000	4358000	4968000	2746000	2086000	3794000	554000	1339000	103000	481000	4088000	503000	13511000	3385000	655000	6809000	2334000	1048000	9790000	694000	1802000	656000	2795000	6250000	529000	356000	2590000	1681000	1813000	3088000	243000
1938	129825000	2787000	 6656000	1112000	1684000	257000	638000	 1771000	3091000	513000	 7866000	3386000	2494000	1842000	2800000	2285000	843000	1766000	4365000	5056000	2753000	2127000	3781000	552000	1326000	105000	485000	4100000	513000	13512000	3440000	647000	6837000	2324000	1067000	9952000	694000	1834000	649000	2821000	6301000	535000	356000	2638000	1698000	1828000	3098000	246000
1939	130880000	2814000	 6785000	1120000	1696000	263000	658000	 1836000	3120000	521000	 7890000	3403000	2520000	1824000	2825000	2334000	846000	1793000	4347000	5156000	2771000	2168000	3783000	555000	1318000	107000	490000	4129000	523000	13523000	3514000	644000	6886000	2333000	1081000	9901000	701000	1872000	645000	2874000	6360000	543000	358000	2670000	1715000	1868000	3121000	248000
1940	131954000	2845000	 6950000	1130000	1708000	269000	690000	 1915000	3119000	522000	 7905000	3433000	2537000	1788000	2859000	2370000	849000	1839000	4318000	5315000	2790000	2176000	3786000	558000	1316000	113000	492000	4175000	531000	13456000	3574000	640000	6929000	2325000	1086000	9896000	719000	1902000	641000	2935000	6425000	552000	363000	2720000	1740000	1907000	3143000	250000
1941	133121000	2902000	 7237000	1124000	1746000	275000	764000	 2017000	3179000	501000	 7995000	3483000	2491000	1765000	2824000	2484000	852000	1913000	4389000	5472000	2718000	2184000	3811000	543000	1272000	120000	490000	4254000	506000	13267000	3589000	615000	6958000	2262000	1071000	9911000	731000	1962000	613000	2973000	6585000	551000	348000	2855000	1789000	1885000	3140000	247000
1942	133920000	2941000	 7735000	1113000	1792000	279000	851000	 2151000	3209000	478000	 8057000	3507000	2439000	1760000	2797000	2546000	839000	1998000	4370000	5549000	2662000	2210000	3829000	518000	1239000	137000	481000	4297000	502000	13002000	3569000	583000	6969000	2215000	1107000	9704000	748000	2007000	589000	2939000	6711000	575000	343000	3038000	1901000	1831000	3053000	251000
1943	134245000	2902000	 8506000	1153000	1792000	282000	900000	 2451000	3245000	500000	 7761000	3449000	2334000	1796000	2693000	2565000	806000	2089000	4257000	5405000	2577000	2280000	3705000	485000	1241000	151000	462000	4226000	534000	12807000	3654000	546000	6868000	2205000	1221000	9444000	760000	1967000	587000	2972000	7012000	631000	327000	3130000	2027000	1741000	3014000	247000
1944	132885000	2802000	 8945000	1137000	1778000	285000	881000	 2420000	3176000	529000	 7719000	3440000	2301000	1779000	2631000	2508000	801000	2118000	4192000	5467000	2526000	2167000	3560000	469000	1216000	153000	456000	4158000	527000	12628000	3560000	534000	6918000	2043000	1233000	9214000	795000	1943000	565000	2868000	6876000	605000	314000	3248000	2092000	1706000	2980000	242000
1945	132481000	2775000	 9344000	1116000	1769000	286000	876000	 2465000	3119000	507000	 7601000	3427000	2308000	1731000	2597000	2429000	800000	2096000	4201000	5475000	2537000	2090000	3516000	477000	1211000	149000	459000	4108000	537000	12495000	3533000	546000	6916000	2028000	1250000	9143000	776000	1934000	579000	2878000	6826000	591000	315000	3193000	2206000	1708000	2961000	239000
1946	140054000	2911000	 9559000	1203000	1906000	299000	899000	 2440000	3242000	509000	 8155000	3702000	2467000	1805000	2761000	2556000	832000	2214000	4494000	5874000	2734000	2064000	3746000	514000	1256000	143000	494000	4492000	561000	13398000	3706000	570000	7512000	2128000	1338000	9866000	770000	1936000	588000	3074000	7197000	638000	342000	3212000	2288000	1826000	3167000	254000
1947	143446000	2942000	 9832000	1237000	1967000	305000	888000	 2528000	3272000	522000	 8341000	3779000	2509000	1853000	2803000	2579000	854000	2248000	4580000	6076000	2796000	2107000	3845000	531000	1265000	149000	507000	4618000	582000	13982000	3769000	578000	7705000	2133000	1361000	10196000	776000	1992000	601000	3166000	7388000	636000	354000	3201000	2211000	1883000	3250000	258000
1948	146093000	2969000	10064000	1263000	2014000	312000	840000	 2578000	3259000	551000	 8552000	3877000	2543000	1892000	2817000	2596000	878000	2271000	4674000	6213000	2868000	2076000	3844000	542000	1265000	156000	520000	4774000	604000	14497000	3837000	580000	7876000	2089000	1405000	10287000	787000	1996000	612000	3216000	7626000	653000	359000	3207000	2255000	1899000	3314000	269000
1949	148665000	3000000	10337000	1295000	2032000	316000	807000	 2668000	3325000	570000	 8670000	3958000	2578000	1925000	2849000	2634000	903000	2329000	4741000	6332000	2935000	2085000	3882000	569000	1302000	157000	533000	4889000	644000	14892000	3911000	597000	7973000	2105000	1431000	10390000	801000	2029000	631000	3236000	7623000	671000	369000	3292000	2294000	1930000	3391000	277000
1950	151868000	3058000	10677000	1325000	2016000	321000	806000	 2810000	3458000	590000	 8738000	3967000	2625000	1916000	2936000	2697000	917000	2355000	4686000	6407000	2997000	2176000	3964000	593000	1327000	162000	532000	4872000	689000	14865000	4068000	619000	7980000	2229000	1532000	10507000	786000	2113000	655000	3315000	7776000	696000	379000	3315000	2387000	2006000	3438000	290000
1951	153982000	3059000	11134000	1326000	2028000	331000	808000	 2980000	3531000	589000	 8790000	4096000	2617000	1950000	2941000	2769000	916000	2441000	4654000	6497000	3010000	2163000	4015000	596000	1316000	168000	529000	5006000	717000	14890000	4120000	604000	8061000	2210000	1556000	10461000	784000	2167000	655000	3372000	8111000	706000	378000	3434000	2424000	1984000	3439000	291000
1952	156393000	3068000	11635000	1365000	2081000	341000	805000	 3157000	3584000	587000	 8956000	4148000	2626000	1977000	2920000	2842000	915000	2500000	4650000	6650000	3030000	2152000	3972000	602000	1311000	181000	535000	5125000	735000	15192000	4109000	608000	8275000	2219000	1582000	10503000	802000	2178000	651000	3352000	8314000	724000	375000	3504000	2448000	1957000	3469000	293000
1953	158956000	3053000	12251000	1431000	2168000	351000	810000	 3310000	3558000	596000	 9065000	4182000	2629000	1994000	2903000	2866000	913000	2567000	4806000	6822000	3050000	2105000	4020000	616000	1318000	195000	547000	5229000	756000	15527000	4120000	609000	8591000	2182000	1601000	10662000	815000	2181000	648000	3319000	8336000	739000	379000	3557000	2466000	1929000	3506000	290000
1954	161884000	3014000	12746000	1493000	2249000	368000	791000	 3505000	3602000	600000	 9252000	4264000	2626000	2042000	2902000	2883000	927000	2685000	4910000	7066000	3113000	2064000	4066000	624000	1340000	213000	554000	5360000	763000	15814000	4131000	611000	8873000	2209000	1626000	10817000	816000	2176000	655000	3359000	8382000	750000	377000	3555000	2516000	1905000	3608000	293000
1955	165069000	3050000	13133000	1546000	2300000	389000	785000	 3747000	3636000	618000	 9435000	4363000	2679000	2093000	2910000	2946000	934000	2742000	4882000	7285000	3172000	2060000	4134000	636000	1374000	237000	557000	5502000	785000	15966000	4242000	615000	9017000	2250000	1659000	10939000	823000	2200000	663000	3415000	8660000	783000	375000	3588000	2604000	1880000	3679000	307000
1956	168088000	3071000	13713000	1625000	2316000	408000	759000	 4047000	3701000	628000	 9530000	4458000	2703000	2119000	2898000	3032000	938000	2811000	4891000	7467000	3240000	2086000	4163000	656000	1397000	250000	566000	5615000	806000	16112000	4309000	613000	9207000	2273000	1698000	10972000	840000	2229000	670000	3415000	8830000	809000	377000	3722000	2668000	1857000	3742000	312000
1957	171187000	3109000	14264000	1664000	2359000	426000	763000	 4372000	3766000	642000	 9668000	4529000	2716000	2128000	2928000	3115000	943000	2873000	4929000	7569000	3274000	2088000	4189000	667000	1394000	260000	572000	5737000	847000	16374000	4368000	612000	9410000	2282000	1712000	10954000	851000	2274000	666000	3434000	9070000	826000	376000	3844000	2724000	1843000	3791000	314000
1958	174149000	3163000	14880000	1667000	2446000	433000	757000	 4630000	3804000	646000	 9886000	4583000	2708000	2142000	2961000	3155000	944000	2982000	5010000	7667000	3313000	2086000	4186000	666000	1383000	269000	581000	5890000	886000	16601000	4376000	606000	9599000	2267000	1718000	11058000	858000	2304000	656000	3471000	9252000	845000	380000	3914000	2773000	1845000	3843000	315000
1959	177135000	3204000	15467000	1710000	2523000	441000	761000	 4808000	3868000	657000	 9986000	4613000	2729000	2160000	2999000	3208000	957000	3066000	5117000	7767000	3366000	2138000	4258000	669000	1397000	279000	596000	6015000	919000	16685000	4458000	618000	9671000	2289000	1746000	11234000	857000	2348000	667000	3522000	9405000	870000	387000	3951000	2821000	1855000	3891000	320000
1960	179975000	3274000	15870000	1769000	2544000	449000	765000	 5004000	3956000	671000	10086000	4674000	2756000	2183000	3041000	3260000	975000	3113000	5160000	7834000	3425000	2182000	4326000	679000	1417000	291000	609000	6103000	954000	16838000	4573000	634000	9734000	2336000	1772000	11329000	855000	2392000	683000	3575000	9624000	900000	389000	3986000	2855000	1853000	3962000	331000
1961	182973000	3316000	16497000	1844000	2586000	461000	778000	 5243000	4015000	684000	10130000	4730000	2756000	2215000	3054000	3287000	995000	3176000	5219000	7893000	3470000	2206000	4349000	696000	1446000	315000	618000	6265000	965000	17061000	4663000	641000	9854000	2380000	1787000	11392000	858000	2409000	693000	3622000	9820000	936000	390000	4095000	2882000	1828000	4009000	337000
1962	185738000	3323000	17072000	1899000	2647000	469000	788000	 5458000	4086000	692000	10280000	4736000	2750000	2231000	3079000	3345000	994000	3263000	5263000	7933000	3513000	2243000	4357000	698000	1464000	352000	632000	6376000	979000	17301000	4707000	637000	9929000	2427000	1818000	11355000	871000	2423000	705000	3673000	10053000	958000	393000	4180000	2942000	1809000	4049000	333000
1963	188438000	3358000	17668000	1936000	2727000	483000	798000	 5628000	4172000	683000	10402000	4799000	2747000	2217000	3096000	3377000	993000	3386000	5344000	8058000	3531000	2244000	4392000	703000	1476000	397000	649000	6531000	989000	17461000	4742000	644000	9986000	2439000	1853000	11424000	876000	2460000	708000	3718000	10159000	974000	397000	4276000	2955000	1796000	4112000	336000
1964	191085000	3395000	18151000	1970000	2798000	497000	798000	 5781000	4258000	680000	10580000	4856000	2746000	2209000	3129000	3446000	993000	3492000	5448000	8187000	3558000	2241000	4442000	706000	1482000	426000	663000	6660000	1006000	17589000	4802000	649000	10080000	2446000	1888000	11519000	885000	2475000	701000	3771000	10270000	978000	399000	4357000	2961000	1797000	4165000	339000
1965	193460000	3443000	18585000	1985000	2857000	507000	797000	 5954000	4332000	686000	10693000	4922000	2742000	2206000	3140000	3496000	997000	3600000	5502000	8357000	3592000	2246000	4467000	706000	1471000	444000	676000	6767000	1012000	17734000	4863000	649000	10201000	2440000	1937000	11620000	893000	2494000	692000	3798000	10378000	994000	404000	4411000	2967000	1786000	4232000	332000
1966	195501000	3464000	18858000	2007000	2903000	516000	791000	 6104000	4379000	689000	10836000	4999000	2762000	2200000	3147000	3550000	999000	3695000	5535000	8512000	3617000	2245000	4523000	707000	1456000	446000	681000	6851000	1007000	17843000	4896000	647000	10330000	2454000	1969000	11664000	899000	2520000	683000	3822000	10492000	1009000	413000	4456000	3057000	1775000	4274000	323000
1967	197374000	3458000	19176000	2053000	2935000	525000	791000	 6242000	4408000	688000	10947000	5053000	2793000	2197000	3172000	3581000	1004000	3757000	5594000	8630000	3659000	2228000	4539000	701000	1457000	449000	697000	6928000	1000000	17935000	4952000	626000	10414000	2489000	1979000	11681000	909000	2533000	671000	3859000	10599000	1019000	423000	4508000	3174000	1769000	4303000	322000
1968	199312000	3446000	19394000	2120000	2964000	534000	778000	 6433000	4482000	695000	10995000	5093000	2803000	2216000	3195000	3603000	994000	3815000	5618000	8696000	3703000	2219000	4568000	700000	1467000	464000	709000	7005000	994000	18051000	5004000	621000	10516000	2503000	2004000	11741000	922000	2559000	669000	3878000	10819000	1029000	430000	4558000	3270000	1763000	4345000	324000
1969	201306000	3440000	19711000	2166000	3000000	540000	762000	 6641000	4551000	707000	11039000	5143000	2805000	2236000	3198000	3619000	992000	3868000	5650000	8781000	3758000	2220000	4640000	694000	1474000	480000	724000	7095000	1011000	18105000	5031000	621000	10563000	2535000	2062000	11741000	932000	2570000	668000	3897000	11045000	1047000	437000	4614000	3343000	1746000	4378000	329000
1970	203185000	3444000	19953000	2207000	3032000	548000	757000	 6789000	4590000	713000	11114000	5194000	2825000	2249000	3219000	3643000	994000	3922000	5689000	8875000	3805000	2217000	4677000	694000	1484000	489000	738000	7168000	1016000	18191000	5082000	618000	10652000	2559000	2091000	11794000	950000	2591000	666000	3924000	11197000	1059000	445000	4648000	3409000	1744000	4418000	332000
1971	206827030	3497076	20345939	2303524	3060938	564708	749781	 7158304	4711550	738753	11202397	5253396	2851705	2246600	3298053	3710487	1015390	4018324	5737580	8974186	3853486	2265432	4725764	710814	1504604	520018	761851	7281107	1053737	18357982	5203531	626760	10734818	2618601	2151022	11886400	963107	2662269	671297	4013608	11509848	1101192	454318	4750838	3447553	1770657	4462155	340285
1972	209283910	3539400	20585469	2404619	3068699	572913	742241	 7511463	4809490	763237	11251948	5302435	2860287	2256375	3335728	3761646	1034292	4073499	5760302	9028944	3869747	2307117	4758780	718732	1519013	546789	781107	7335042	1078697	18339400	5301150	631119	10746993	2658646	2197297	11908233	974790	2719197	677234	4094611	11759148	1135449	463143	4824472	3447885	1797648	4502412	347345
1973	211357480	3579780	20868728	2495868	3067814	577759	731488	 7913696	4910374	782074	11251367	5338277	2863715	2265603	3371024	3788375	1045655	4097974	5781172	9077956	3889332	2349546	4782645	726798	1529567	568991	800951	7333083	1105529	18177063	5389852	632675	10767314	2695931	2241932	11890527	975738	2776605	678715	4147401	12019543	1170040	468430	4901292	3478782	1806360	4524244	354061
